descricao;endereco;area;quartos;suites;wc;vagas;valor;condominio;lat;lon;weblink
Excelente apto com móveis planejados no bairro Pinheirinho por 231 mil .Sala para 2 ambientescozinhalavanderia2 quartos1 banheiro1 vaga de garagem descobertaApto com móveis planejados em todas as peças, ensolarado com supermecado em frente ao condominio. ao lado da linha verde.Agende sua visita com um de nossos consultores, nossa equipe conta com profissionais qualificados. -;Rua Lothario Boutin;53;2;0;1;1;269900;0;-25.509863;-49.288233;https://www.vivareal.com.br/imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-com-garagem-45m2-venda-RS269900-id-2573456797/
"A MM Rocha Imóveis oferece OPORTUNIDADE de morar em um apartamento em uma das regiões mais tradicionais de Curitiba, o bairro Água Verde.  Oportunidade!!  Em excelente localização, perto de shopping, mercados, farmácias, pet shop e academias, esse lindo apartamento é semimobiliado, conta com 3 dormitórios, sendo 1 suíte, banheiro, sala para 2 ambientes, ampla cozinha, área de serviço e garagem para 1 carro.  Localizado no 3 Andar e REFORMADO EM 2021.  Condomínio é enxuto, mas com portão eletrônico, interfone e cerca de segurança.  Excelente oportunidade de morar bem e pagando pouco.  Características:  - 87,65m² área privativa;  - Sala para 2 ambientes;  - Cozinha;  - 3 Quartos;  - 1 suíte  - 1 Banheiros;  - 1 Vaga de garagem;   AGENDE JÁ SUA VISITA, LIGUE:  4 1 9 9 9 6 1 0 2 3 7  4 1 9 9 1 5 5 0 8 1 1     - Características: Portão Eletrônico,   - Cômodos: Área de Serviço, Cozinha, Despensa,   - Proximidades: Bares e Restaurantes, Escola, Farmácia, Shopping Center, Supermercado,";Rua Mato Grosso;96;3;1;2;1;380000;430;-25.464459;-49.287609;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-87m2-venda-RS380000-id-2580042777/
"A menos de 2km do Centro, o bairro Juvevê é reconhecido por ser arborizado e por oferecer ótima infraestrutura para os moradores. Para quem busca um bairro perto de tudo, o Juvevê é uma escolha acertada. Quem vive na região tem fácil acesso e ótimas opções de escolas, supermercados, lojas, restaurantes, feiras livres, academias de ginástica, entre outros.Apartamento com ótima planta, amplo , arejado, ensolarado e recém reformado contendo:Sala para dois ambientes com lareira e rack;3 quartos sendo 1 suíte todos com armários novos planejados;Banheiros com piso em porcelanato, box com vidro temperado, e pias com armários planejados;Cozinha com armários novos planejados, pia e bancada em granito, fogão e forno embutidos, coifa;Área de serviço com armários planejados, bancada em granito e aquecedor de água a gás;1 vaga de garagem livre e fixa.Depósito individualPrédio com elevador.* A taxa de condomínio informada está sujeita à alteração sem prévio aviso e varia de acordo com o custo de administração de condomínio.Valores e descritivas poderão sofrer alterações sem prévio aviso. -";Rua Sete de Abril;120;3;1;2;1;550000;570;-;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-juveve-bairros-curitiba-com-garagem-88m2-venda-RS550000-id-2584650879/
"* Ao ligar informe o código do anúncio JU56;Apartamento à venda no condomínio The First no Cabral em Curitiba/PR!!O imóvel possui 2 dormitórios sendo 1 suíte com armários, banheiro e segundo quarto. Sala para 2 ambientes com sacada, cozinha com área de serviços e direito a 1 vaga de garagem coberta e demarcada.O condomínio conta com salão de festas, playground, salão de jogos, 2 elevadores e interfone. Próximo ao Terminal Cabral, restaurantes como Kharina, Mercearia Bresser, Madero, academias e vasta rede de comércios e serviços.* Valor sujeito a alteração sem aviso prévio;* Visita apenas com o consultor imobiliário;Fale conosco: -";Rua Campinas;110;2;1;2;1;439000;427;-25.402014;-49.248859;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabral-bairros-curitiba-com-garagem-65m2-venda-RS439000-id-2584690178/
- 2 Quartos, sendo 1 suíte- Área privativa 55,16m² - Sala jantar e estar ( 2 ambientes) - Cozinha - Área de serviço separado- Apartamento ensolarado com vista- Aquecimento a gás- 1 Vaga de garagem (subsolo)- Localizado no 7º andar - Condomínio com salão de festas e quadra esportiva- Condomínio seguro com portaria remota 24horas- ElevadorNegociação- Pagamento à vista- Aceita Financiamento e FGTS ***somos correspondentes bancários, faça sua simulação)- Aceita carta de crédito contemplada - Aceita carro como parte de pagamento sujeito a avaliaçãoCreci/PR 10483;Rua Pedro Collere;-;2;1;2;1;365000;530;-25.456565;-49.298601;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-55m2-venda-RS365000-id-2586305104/
APARTAMENTO NO CAPÃO RASOApartamento semimobiliado com 41m² privativos, com dois quartos, um banheiro e uma vaga de garagem coberta, localizado no bairro Capão Raso na Rua Frei Teófilo 81, no 13º andar, muito bem ensolarado e arejado face Leste/Norte, o apartamento fica no canto do prédio e tem ventilação cruzada, outro benefício é que a água e gás são individuais.O imóvel conta com uma cozinha sob medida com tampo de mármore paraná branco, com pisos em porcelanato acetinado alto brilho nas áreas frias. Na sala fica o painel de TV e nos quartos contêm piso laminado resistente a água, em um dos quartos a proprietária decidiu fazer closet, mas é possível mudar o layout.*Os itens nas fotos como geladeira, cama e sofá são negociáveis.Obs: todos os móveis sob medida de altíssima qualidade desenvolvidos pela empresa Campo LargoUm imóvel muito bem cuidado, pois foi é o primeiro imóvel da proprietária e ela o mobiliou com muito bom gosto.Então se você procura um imóvel com essas características e pretende morar em uma ótima região e de fácil acesso ao centro, entre em contato conosco e agende a sua visita com um de nossos especialistas para ter um atendimento personalizado!Valores sujeitos a alteração sem aviso prévio. Favor consultar disponibilidade. -;Rua Frei Teófilo;83;2;0;1;1;269900;300;-;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-41m2-venda-RS269900-id-2585037561/
Almáa CabralSituado entre o Cabral e Hugo Lange possui uma localização ímpar em uma região nobre e bem valorizada de Curitiba.Um belíssimo condomínio com uma fachada moderna, áreas de lazer confortáveis, muito bem decoradas e portaria e vigilância 24 hs.Trata-se de uma cobertura duplex com 385 m² privativos á venda! Possui sala 3 ambientes com elevador privativo, lavabo, 2 amplos terraços no piso inferior, cozinha gourmet, área de serviço e entrada de serviço.4 suítes com piso de madeira instalado, sendo uma máster com banheira e uma com terraço, preparação pronta para ar-condicionado, piso aquecido nos banheiros e dormitórios, elevador privativo e 4 vagas cobertas.Agende sua visita!;Avenida Nossa Senhora da Luz;649;4;4;6;4;7988000;3735;-25.409165;-49.241412;https://www.vivareal.com.br/imovel/cobertura-4-quartos-cabral-bairros-curitiba-com-garagem-457m2-venda-RS7988000-id-2561567952/
Um apartamento elegante e que transforma o dia a dia de qualquer pessoa para melhor. Esse imóvel é super bem localizado, no comecinho do bairro Ecoville.Conta com ambientes super iluminados que trazem muito conforto. Planta espaçosa, com 172 metros privativos. Tem lareira na sala de estar, sacada com churrasqueira e fechada com vidro. Com uma vista definida da região e todo o privilégio de um face norte! O apartamento é todo lindo e o condomínio maravilhoso.Agende para conhecer!Casaquattro Rosane Loyola / *Valores e disponibilidade podem ser alterados sem aviso prévioMarcadores: -;Rua Deputado Heitor Alencar Furtado;249;3;3;5;2;1390000;1270;-;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ecoville-bairros-curitiba-com-garagem-172m2-venda-RS1390000-id-2585808971/
Apartamento 3 Quartos 85,65m de área útil3 banheiros2 salas1 vaga de Garagem LivreMuito AmploCom elevadorÚltimo andarAGENDE SUA VISITA !1contato (41) 9 91 29 42 78 -;Rua Santa Catarina;85;3;1;3;1;360000;380;-25.462907;-49.284156;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-85m2-venda-RS360000-id-2582877501/
Condomínio Sevilha Neoville.Localizado bairro planejado Neoville ao lado do Capão Raso e a 10 minutos do Shopping Palladium: Rua José Zaleski 1240.Apartamento possui 2 quartos, sala para 2 ambientes, cozinha integrada com área de serviço, 1 banheiro e excelente área de garden (quintal de uso privativo).Condomínio novo, moderno, com elevador, 2 vagas de garagem cobertas no subsolo e áreas de lazer:Salão de festas, academia, playground, quadra poli esportiva, espaço exclusivo para o seu Pet entre outros. Taxa de condomínio, R$350,00.Fotos das áreas de lazer e da planta do apartamento no anúncio.Valor á vista: R$ 395.000,00. É possível financiar com entrada a partir de R$39.000 dependendo da renda. Use seu FGTS.Entre em contato agora mesmo e agende uma visita:Bruno Rosa Corretor de imóveis - CRECI 28.958 (Whatsapp).;Rua José Zaleski;92;2;0;1;2;395000;350;-25.502025;-49.308986;https://www.vivareal.com.br/imovel/apartamento-2-quartos-neoville-bairros-curitiba-com-garagem-92m2-venda-RS395000-id-2563195960/
"À três quadras do Hospital IPO, esse lindo imóvel está no encantador Edifício Star Gate. Em rua tranquila, arborizada, fica na divisa do Portão com o bairro Água Verde, em rua paralela à Avenida República Argentina, onde temos o serviço de ônibus expresso da cidade, assim como o mais variado comércio, como bancos, restaurantes, panificadoras, Correios, academias, salões de beleza . O endereço do Star Gate também facilita sua ida à qualquer outro bairro da cidade através das vias rápidas e oferece o serviço de boas escolas.Com 110m² de área útil, esse imóvel está completamente reformado com altíssimo bom gosto, assim como os móveis, todos sob medida de primeira linha. Ao entrar no mesmo, conseguimos sentir a amplitude e frescor dos ambientes! Claros e integrados, proporcionam conforto e aconchego pela linda vista livre, entrada em abundância de luz natural (face leste e oeste), lindo projeto luminotécnico assim como projeto acústico embutido no gesso. O piso vinílico em tom de madeira corre por todo o ambiente até a sacada frontal, integrando a mesma à sala de estar. Esta com estante embutida com nichos pra que você coloque seu toque pessoal com a decoração. Rack em madeira e painel para tv em laca fendi. Da sala de jantar temos acesso por portas de correr ao home office e ambiente com churrasqueira à carvão. Ampla copa /cozinha com armários sob medida e iluminação embutida. Lavanderia separada. Aquecimento à gás e dependência completa de empregada. São três bons dormitórios, todos com armários sob medida e com iluminação interna, sendo uma suíte com closet. Os dois banheiros possuem lindo acabamento e revestimentos modernos, assim como ventilação natural. Uma vaga de garagem com capacidade para dois veículos e com armário para depósito.O condomínio oferece:- Portaria 24 hrs;- parquinho;- salão de festas equipado;- quadra poliesportiva;- dois elevadores;- 03 apartamentos por andar.Ficarão no imóvel:- todos os móveis sob medida;- cortinas sob medida com apenas 06 meses de uso;- rack da sala de estar;- buffet sala de jantar.Agende sua visita - Telefone: ou WhatsApp: (41) 9..";-;173;3;1;3;2;770000;1273;-;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-110m2-venda-RS770000-id-2583438707/
Excelente apartamento, ótima oportunidade para quem quer um apartamento amplo de alto padrão. Ideal para quem busca qualidade, sofisticação e bem estar. Constituído por:Sala de Estar / Jantar ampla, integrada à cozinhaSacada ampla com churrasqueira à carvãoLavaboCozinha em conceito aberto, com acesso a sacadaLavanderia separada, com acesso a sacada3 Dormitórios (2 suítes, sendo a suíte Master com closet e hidromassagem)Banheiro Social2 vagas de garagem, amplas e muito bem posicionadas Diferenciais:Teto em gesso rebaixado em todo apartamentoTodos os dormitórios e a sala com infraestrutura para ar condicionadoAr Condicionado na Suíte Master já instaladoCozinha e Lavanderia com armários planejadosFace leste e oeste, com vista livreVista para a Serra do Mar e o Pôr do solJanelas amplas, bem ventilado e com muita iluminação naturalTratamento acústico em todo apartamento Área comum completa para conforto, segurança, praticidade e com ampla área de lazer.Tudo pensado para que você e sua família possam aproveitar sempre o máximo em cada ambiente. O Edifício Sellect Cabral fica num dos melhores e mais nobres bairros de Curitiba, perto das principais vias de acesso ao Centro da Cidade.Região bem servida de comércio, serviços e de diversas outras facilidades. VALOR SUJEITO À ALTERAÇÃO SEM AVISO PRÉVIO;Rua Coronel Amazonas Marcondes;207;3;3;4;2;1150000;970;-25.402221;-49.247475;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-120m2-venda-RS1150000-id-2582126622/
Apartamento PRONTO PRA MORARSALA para 2 ambientesSACADA com churrasqueiraBANHEIRO social2 QUARTOSÁREA DE SERVIÇO1 Vaga de garagem descobertaCondomínio possui: Aquecimento à gás, elevador, salão de festas.Agende já sua visita com um de nossos corretores.*Valor e disponibilidade sujeitos à alteração sem aviso prévio. -;Rua Pastor Antônio Polito;64;2;0;1;1;252000;0;-25.525072;-49.236283;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boqueirao-bairros-curitiba-com-garagem-47m2-venda-RS252000-id-2583274390/
Apartamento com 04 dormitórios, sendo 03 suites, 01 vaga de garagem, Batel Edifício esta Localizado em uma rua sem saída, no coração do Batel, Próximo ao Hospital Militar, Cruz Vermelha, Shopping e vários restaurantes e praças. Você pode morar no centro com a tranquilidade, São apenas 09 pavimentos, sendo 01 apartamento por andar. Condomínio enxuto, sem portaria 24 horas, apenas zeladora, academia, 2 elevadores, portão eletrônico e interfone. O apartamento tem 180,00m² privativos e 280,00m² de área total: 4 dormitórios sendo 2 suítes, 01 Demi-suíte, suíte do casal ampla com armários e banheiro com hidromassagem, 5 banheiros no total contando com lavabo e banheiro de serviço, living amplo com jantar conjugado, 1 ampla e confortável sala de tv com lareira e sacada, varanda com churrasqueira a gás, pia e bancada de apoio em granito, fechada com vidros de correr, passa pratos, calefação na parede em todos os ambientes, janelas dos quartos com venezianas, tampos e pias de banheiros em granito, sala de estar/ jantar e sala de TV Intima com piso em porcelanato, cozinha, lavanderia e despensa (ou dormitório de empregada). Aquecedor de passagem, teto em gesso trabalhado e luminárias. Entrada de serviço separada da entrada social, 01 vaga de garagem. Valor R$ 950.000,00 baixou para R$ 850.000,00 estuda apartamento em Balneário Comburiu que seja localidade até a 3 avenida. Mais informações ou interesse em agendar uma visita, favor ligar para Jose Possoli ou envie email para -;Rua Professora Ivette Fonseca de Siqueira;281;4;2;4;1;850000;950;-25.439252;-49.287543;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-180m2-venda-RS850000-id-2564428069/
Apartamento (3 dormitórios) convertido em um Lindo Loft, pronto para você !A localização é simplesmente perfeita !Com uma vista definitiva para muito verde e para toda a cidade, você tem segurança e lazer neste apartamento charmoso e aconchegante. Está na divisa dos bairros Cabral, Bacacheri e Jardim social, próximo a farmácias, super mercados e outros comércios.CARACTERÍSTICAS- 87,29 m2 de área privativa- 130,67 m2 de área total- 1 suíte com ar condicionado e closet- Facilmente reversível para fechar mais um quarto- Cozinha aberta- Ampla lavanderia - Sala para três ambientes (escritório)- Armários planejados na cozinha, banheiros e suíte com closet- Piso em porcelanato- 1 vaga livre e cobertaCONDOMÍNIO- Portaria 24h- Quadra poliesportiva- Brinquedoteca- Salão de festas- Playground- Piscina- Churrasqueira- Salão de jogos- Bicicletário- AcademiaQual é o imóvel dos seus sonhos?Dream Hunters vai achá-lo para você.*Valores sujeitos à alteração sem aviso prévio.;Avenida Nossa Senhora da Luz;131;1;1;2;1;549000;517;-25.405831;-49.244456;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bacacheri-bairros-curitiba-com-garagem-87m2-venda-RS549000-id-2573791513/
"Desocupando, lista de espera para visitação.Locação apenas com SEGURO ALUGUEL, NÃO Aceita Fiador.Seguro Aluguel Porto Seguro ( Aluguel+ condomínio + IPTU x 13 à 20 % do seu Score)/ pagamento mensal ou à vista.Excelente Apartamento com ótimo acabamento e conservação entre Cabral e Ahú.Duas vagas de garagem, suíte, social e dependência, quatro quartos sendo um deles com bancada de escritório.Sacada fechada pode ser revertida,Sala com dois ambiente , pode ser ampliada.Aceita permuta"""" apenas de apartamento no Água verde imediações do Angelone ( favor não insistir)""!Armários amplos e bem planejados, novos.Banheiros reformados novos, com aquecimento para toalhas, box camaleão, ducha de vaso, iluminação , ventilação janela e forçada, fino acabamento.Cozinha ampla .1º andar, acesso cadeirantes.Portaria 24 horas.Aceita Pet. -";-;156;4;1;3;2;680000;880;-;-;https://www.vivareal.com.br/imovel/apartamento-4-quartos-cabral-bairros-curitiba-com-garagem-129m2-venda-RS680000-id-2552095959/
Apartamento 3 suítes - 3 vagas - ECOVILLEApartamento com 228m² privativos, distribuição interna bem elaborada e com acabamentos de alto padrão.Possui sala ampla para 2 ambientes, sala de TV, cozinha integrada com churrasqueira, área de serviço, varanda, 3 suítes, 1 escritório.Piso em madeira nos quartos e porcelanato no restante do apartamento. Armários planejados de ótima qualidade.* Fotos internas do apartamento ainda não estão disponíveis pois o morador está em fase de mudança.Condomínio oferece área de lazer completa:- Salão de Festas- Espaço Gourmet- Espaço Grill- Espaço Mulher- Piscina Coberta e Aquecida- Spa- Fitness Center- Espaço Zen- Playground- Brinquedoteca- Quadra Poliesportiva- Quadra de Tênis- Bosque- Pista de CaminhadaEntre em contato para saber mais detalhes e agendar uma visita!!!!* Valor sujeito a alteração sem aviso prévio! -;Rua Professor Pedro Viriato Parigot de Souza;360;3;3;4;3;3000000;1655;-25.439892;-49.344446;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ecoville-bairros-curitiba-com-garagem-228m2-venda-RS3000000-id-2578205808/
Aparentemente face norte Suíte com armário embutido. Banheiro da suíte com box.Um dormindo com armários e escrivaninha. Mais um dormitório de solteiro. Banheiro social. Sala para dois ambientes com sacada. Cozinha com armários. Lavanderia. Aquecimento a gás. Uma vaga de garagem. Salão de festas com churrasqueira. Playground. Portaria em horário comercial.;Rua da Bandeira;125;3;1;2;1;450000;587;-25.4015;-49.2549;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-74m2-venda-RS450000-id-2576759958/
Apartamento face oeste, lugar tranquilo, 1º andar, Central de gás, sacada, Teto rebaixado em gesso, com suíte, despensa, dependência de empregada com banheiro, Pertinho da Praça 29 de Março (500 m), à 6 minutos do Shopping Mueller.Este Apartamento no Edifício Maria Victória, logo na entrada, tem uma sala ampla, para dois ambientes. O Teto é rebaixado e decorado em gesso com iluminação personalizada. A sacada é ótima, espaçosa e integrada à sala, oferecendo uma iluminação natural, e é super ventilado. Na parte íntima do apartamento, temos muita privacidade, onde compõe uma ampla suíte, dois quartos e banheiro social. A cozinha possui armários planejados, área de serviço com tanque, sistema de aquecimento a gás, dependência de empregada com armário e banheiro, despensa, duas vagas de garagem.Ótima localização, a região oferece diversos comércios, supermercados, restaurantes.DADOS DO IMÓVEL:Área útil: 104,46 m² Área total: 168 m²Quartos: 03Suíte: 01Banheiros: 3Dependência de empregada: 1Despensa: 1Vaga de garagem: 02Ano da Construção: 1995LOCALIZAÇÃO:Endereço: Rua Visconde do Rio Branco, 390 - MercêsCONDOMÍNIO:PlaygroundSalão de Festas InternoSalão de Festas Externo com Churrasqueira no SolariumPROXIMIDADES:SESC da Esquina: 1,4 km Praça 29 de Março: 500 mPraça Osório: 1,3 kmPraça da Espanha: 1,5 kmTorre Panorâmica: 1,9 kmFestval Brigadeiro: 450 mFestval Barigui: 1,9 kmCondor Champagnat: 2,5 kmSuper Muffato Gourmet – Champagnat: 2 kmColégio Santo Anjo: 1,8 kmColégio Cívico Militar Manoel A Guimarães: 2 kmFeirinha do Largo da Ordem: 1,7 kmShopping Mueller: 1,8 km (6 min)Shopping Crystal: 2,2 kmShopping Curitiba: 2,1 kmNEGOCIAÇÃO:Possibilidade de Financiamento e uso do FGTS.Visitas devem ser agendadas com antecedência, Eliana Carvalho | CRECI F37324Conheça a Rede que mais vende imóveis no Mundo! Vem para a RE/MAX BRAVO e RE/MAX BRAVO BEACHTelefone: /;Rua Visconde do Rio Branco;168;3;1;3;2;649900;1340;-25.425612;-49.28341;https://www.vivareal.com.br/imovel/apartamento-3-quartos-merces-bairros-curitiba-com-garagem-104m2-venda-RS649900-id-2574253069/
APARTAMENTO AMPLO, AREJADO, BEM LOCALIZADO, FÁCIL ACESSO A TODOS OS LUGARES DA CIDADE, TRAZENDO MUITA COMODIDADE NO SEU DIA A DIA.EDIFÍCIO PERO VAZ DE CAMINHA.> PORTARIA 24 HORAS.> SALÃO DE FESTAS COM MESAS E CADEIRAS E POLTRONAS.> SALÃO DE FESTAS COM CHURRASQUEIRA TODA EQUIPADA.> QUADRA POLIESPORTIVA> PLAYGROUND.> SALÃO DE JOGOS.> HORTA.> AMPLA ÁREA EXTERNA.DESCRIÇÃO DO IMÓVEL:> 3 DORMITÓRIOS SENDO:QUARTO 1 E 2 COM ESPAÇO PARA GUARDA ROUPA.QUARTO 3 (SUÍTE) : ARMÁRIOS EMBUTIDOS COM 6 PORTAS, CAMA EMBUTITA COM 2 CRIADOS MUDOS.BANHEIRO C/ PIA EM MÁRMORE COM ARMARIO E ESPELHO.> AMPLO ESPAÇO DE CIRCULAÇÃO ENTRE A SALA E OS QUARTOS.> BWC SOCIAL COM PIA DE MARMORE COM ARMARIO, ESPELHO . ÁREA DE CHUVEIRO SEPARADO.> COZINHA.> ÁREA DE SERVIÇO COM AQUECEDOR A GÁS .> BANHEIRO COMPLETO DE SERVIÇO.> QUARTO OU DESPENSA COM ARMÁRIO EMBUTIDO.> GARAGEM INDIVIDUAL E LIVRE.* PISO DA SALA E QUARTOS NOVOS.* SALA E COZINHA COM JANELAS DE ALUMINIO DE PONTA A PONTA PROPORCIONANDO MUITA CLARIDADE.* POSSIBILIDADE DE TRANSFORMAR O BANHEIRO DE SERVIÇO EM LAVABO.Obs. Preço sujeito a alteração sem aviso prévio. -;Rua Governador Agamenon Magalhães;171;3;1;3;1;430000;911;-25.43724;-49.236812;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-117m2-venda-RS430000-id-2577667959/
Apartamento pronto para morar no 7º andar do Edifício Sunrise, de frente para a Praça do Japão.Um por andar, com elevador privativo que dá acesso direto ao apartamento, o imóvel possui três suítes, sendo a suíte master com vista total da praça, sacada e closet já com armários, além de banheira de hidromassagem no banheiro. As outras duas suítes já possuem armários nos quartos e banheiros.Com duas amplas salas, que podem ser integradas, ambas com piso de madeira recém colocado e rodapés novos, possui ainda lavabo com acesso na entrada.A cozinha é espaçosa e já conta com armários, bem como a área de serviço, também mobiliada com móveis planejados brancos. O apartamento ainda possui dependência completa para funcionários, além de 2 elevadores, um para entrada da frente e outro, nos fundos.São três garagens, sendo duas conjuntas e uma separada.O prédio possui salão de festas recentemente reformado e portaria 24 horas.;Travessa Lange;235;3;3;5;3;1750000;2800;-25.446275;-49.286559;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-182m2-venda-RS1750000-id-2556532131/
Ed. Cristal de Gallé – 3 quartos no BatelRua Odin Ferreira do Amaral, 78, Batel, Curitiba, Pr.Amplo e ensolarado apartamento no coração do Batel, ao lado do Colégio Dom Bosco.Possui face leste, com muito sol em todos os ambientes.São 154 m2 de área privativa, distribuídos em ampla sacada, 3 dormitórios sendo 1 suíte com banheira de hidromassagem e 2 demi-suítes, sala de estar/ jantar (lareira), lavabo, cozinha (churrasqueira), área de serviço e banheiro de serviço.Possui piso laminado em madeira, churrasqueira, lareira e lindos móveis planejados na cozinha e quartos.Em área comum possui amplo salão de festas, espaço gourmet, play-ground, bicicletário e portaria 24hÁrea privativa: 154 m2Área total: 292 m2Vagas: 2Valor condomínio: 1.100Valor IPTU: 2.430Venha fazer uma visita!!!;Rua Odin Ferreira do Amaral;292;3;1;3;2;1050000;1100;-25.44744;-49.294402;https://www.vivareal.com.br/imovel/apartamento-3-quartos-batel-bairros-curitiba-com-garagem-154m2-venda-RS1050000-id-2565680215/
Apartamento 60m² em bom estado de conservação, bairro Cidade Industrial na Avenida das Industrias em frente ao Hospital Vitória. Contendo : 3 quartos, cozinha com pia e gás central para fogão, área de serviço conjugada, banheiro com revestimento de piso e parede (box blindex) , ampla sala para dois ambientes e 1 vaga de garagem descoberta. Imóvel possui armários modulado em 1 quarto, piso vinilico em todos os ambientes e cerâmica na cozinha e banheiro.Condomínio oferece boa área de lazer com, quadra poliesportiva, play ground, bicicletário e salão de festas com churrasqueira. Excelente localização, unidade de saúde e transporte público em frente, todo comércio e escolas à disposição.Muita tranquilidade com portaria 24 horas, vigia noturno e monitoramento por câmeras.Oportunidade ! Imóvel em bom estado de conservação e muito ensolarado (face oeste, sol da tarde), localizado no 2°andar.Valor : R$ 170.000,00 (aceita financiamento, FGTS e carta de crédito)As informações estão sujeitas a alterações. Consulte o corretor responsável.;Rua Senador Accioly Filho;60;3;0;1;1;170000;380;-25.497216;-49.319434;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-60m2-venda-RS170000-id-2583658815/
O apartamento está localizado no bairro Portão/ Água Verde, com 88 metros quadrados com 3 quartos sendo 1 suíte e 1 banheiro social.Possui salão para festas e eventos. Elevador para mais praticidade no dia-a-dia.Está em um condomínio protegido por grades.Todo com acabamento rebaixado em gesso.Face leste e oeste, muito ensolarado.São apenas 2 por andar.Muito bem localizado, próximo a mercados, shoppings, escolas, clube de tênis, bancos, farmácias e comércios em geral.Ligue e agende uma visita.;Rua Maranhão;115;3;1;2;1;487000;480;-25.47141;-49.28706;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-88m2-venda-RS487000-id-2578289808/
Excelente Apartamento no Edifício Central Place!Apartamento com 70m² privativos, face norte com excelente incidência solar, conta com 2 suítes, sala com sacada, cozinha integrada com a copa, lavandeira e uma vaga de garagem.Condomínio oferece salão de festas, playground, academia, lavanderia coletiva.Para mais informações, entre em contato com nossos corretores através do telefone . Plantão Este imóvel está sujeito a alterações de preço e disponibilidade -;Rua João Manoel;94;2;2;2;1;450000;875;-25.423727;-49.276087;https://www.vivareal.com.br/imovel/apartamento-2-quartos-sao-francisco-bairros-curitiba-com-garagem-70m2-venda-RS450000-id-2554039933/
Um lugar vibrante, disruptivo e cheio de personalidade. As obras exclusivas do renomado artista curitibano Tom 14 ilustram a fachada, e as áreas comuns do Republik, transbordando a vida e a energia para o cotidiano.Studios, apartamentos 1 e 2 dormitóriosÁreas comunsAcademiaCoworkingCozinha CompartilhadaCrossfitEspaço GrillHortaLavanderiaPlay AdultosPraça da fogueiraSalão de JogosSolariumSpa;Rua Benjamin Constant;19;1;0;1;0;183000;-;-25.430265;-49.264512;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-19m2-venda-RS183000-id-2575778358/
Apartamento com 3 dormitórios à venda no Bigorrilho.Procurando um lugar para morar que tudo esteja pertinho de você?Esta é a sua grande oportunidade! Apartamento de 86m² com três dormitórios, sendo uma suíte, varanda, cozinha planejada, uma sala, área de serviço e duas garagens cobertas. Iluminação natural incrível! Semi-mobiliado, recentemente reformado, ele está lindo! Aceita pet e para seu lazer, o condomínio oferece quadra poliesportiva, playground, brinquedoteca, mercadinho, salão de festas, churrasqueira, perfeito para reunir família e amigos. Possui uma estrutura de segurança completa com portaria 24h, circuito interno de câmeras de segurança.A localização não poderia ser melhor, acesso a todos os bancos, panificadoras, farmácias, lojas, cafés, supermercados, shoppings e colégios. Em poucos minutos você está nos bairros Batel, Água Verde, Ecoville e Centro, sem falar no Parque Barigui, você chega em minutos no parque e pode desfrutar de uma saudável caminhada! Vem logo conhecer!Valor do Aluguel Bruto: R$ 4.125,00 + taxasBonificação para pagamento em dia: R$ 825,00 (*)Valor do Aluguel líquido: R$ 3.300,00 + taxas* A bonificação é concedida somente a partir do 2º mês de locação, para pagamento em dia.O 1º boleto de aluguel permanece com o valor bruto + taxas.Este anúncio pode sofrer alterações sem aviso prévio.As visitas estão disponíveis, agende um horário!CasaQuattro Andrea / -;Rua Coronel Joaquim Ignácio Taborda Ribas;120;3;1;2;2;3300;650;-;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-86m2-venda-RS780000-id-2576916976/
